Customer_ID,Gender,Age,Location,Product_Category,Purchase_Amount,Purchase_Date,Rating,Discount_Applied,Payment_Method,Is_Returned,Browsing_Time_Minutes,Items_Purchased,Price_per_Item,Estimated_Original_Price,Estimated_Discount,Customer_segement,Year,Month,Month_Year,Discount_Range
4174,Female,38,Tokyo,Clothing,2541.25,2023-01-01,5.0,False,Cash,0,33.7,2,1270.625,14537.497500000001,11996.247500000001,Medium Spender,2023,1,2023-01,
4507,Male,40,London,Electronics,1720.22,2023-01-02,3.0,False,Credit Card,1,36.9,6,286.7033333333333,43612.49250000001,41892.27250000001,Medium Spender,2023,1,2023-01,
1860,Male,60,Berlin,Electronics,4173.69,2023-01-03,1.0,True,PayPal,0,55.7,1,4173.69,7268.748750000001,3095.058750000001,High Spender,2023,1,2023-01,
2294,Female,33,Berlin,Fitness,4677.75,2023-01-04,2.0,True,Cash,0,40.2,5,935.55,20080.2,15402.45,High Spender,2023,1,2023-01,
2130,Female,64,London,Books,7268.748750000001,2023-01-05,3.0,False,PayPal,0,41.8,6,1211.458125,29895.899999999998,22627.151249999995,High Spender,2023,1,2023-01,
2095,Other,32,Mumbai,Fitness,2541.25,2023-01-06,2.0,False,Cash,0,47.4,7,363.0357142857143,28112.28,25571.03,Medium Spender,2023,1,2023-01,
4772,Male,42,Mumbai,Fitness,4643.51,2023-01-07,1.0,True,Cash,0,7.9,2,2321.755,8032.08,3388.5699999999997,High Spender,2023,1,2023-01,
4092,Female,53,Tokyo,Fitness,313.73,2023-01-08,5.0,False,Credit Card,0,22.2,1,313.73,4016.04,3702.31,Low Spender,2023,1,2023-01,
2638,Male,28,New York,Electronics,466.34,2023-01-09,4.0,False,Debit Card,0,58.1,6,77.72333333333333,43612.49250000001,43146.15250000001,Low Spender,2023,1,2023-01,
3169,Female,68,Mumbai,Electronics,818.14,2023-01-10,4.0,False,Cash,0,55.5,3,272.7133333333333,21806.246250000004,20988.106250000004,Low Spender,2023,1,2023-01,
1466,Female,32,New York,Fitness,2978.09,2023-01-11,2.0,True,Cash,0,53.2,5,595.618,20080.2,17102.11,Medium Spender,2023,1,2023-01,
2238,Male,21,Berlin,Electronics,756.61,2023-01-12,2.0,True,Credit Card,0,27.7,2,378.305,14537.497500000001,13780.8875,Medium Spender,2023,1,2023-01,
1330,Male,38,New York,Books,4840.54,2023-01-13,1.0,True,Debit Card,1,51.6,1,4840.54,4982.65,142.10999999999967,High Spender,2023,1,2023-01,
2482,Male,30,Berlin,Fitness,2236.34,2023-01-14,4.0,True,Crypto,0,3.9,1,2236.34,4016.04,1779.6999999999998,Medium Spender,2023,1,2023-01,
3135,Male,39,London,Electronics,2510.08,2023-01-15,5.0,True,Crypto,0,9.8,4,627.52,29074.995000000003,26564.915,Medium Spender,2023,1,2023-01,
4444,Male,36,London,Clothing,1237.06,2023-01-16,3.0,True,Debit Card,0,25.4,2,618.53,14537.497500000001,13300.437500000002,High Spender,2023,1,2023-01,
4171,Female,51,Tokyo,Fitness,2357.45,2023-01-17,2.0,True,PayPal,0,29.5,1,2357.45,4016.04,1658.5900000000001,High Spender,2023,1,2023-01,
3919,Female,31,Mumbai,Fitness,3311.26,2023-01-18,3.0,True,Credit Card,0,16.5,6,551.8766666666667,24096.239999999998,20784.979999999996,High Spender,2023,1,2023-01,
4735,Female,21,Tokyo,Books,3757.13,2023-01-19,3.0,True,Debit Card,0,22.0,4,939.2825,19930.6,16173.469999999998,Medium Spender,2023,1,2023-01,
1130,Female,65,Berlin,Home Decor,3770.57,2023-01-20,3.0,False,Crypto,0,10.6,7,538.6528571428572,50881.24125000001,47110.67125000001,Medium Spender,2023,1,2023-01,
2685,Female,69,Tokyo,Home Decor,2891.57,2023-01-21,4.0,True,Cash,0,29.9,6,481.92833333333334,43612.49250000001,40720.92250000001,Medium Spender,2023,1,2023-01,
